id,aptitude,v_cross,v_square,v_triangle,v_circle,v_l1,v_r1,v_number,v_cross_cross,v_cross_square,v_cross_triangle,v_cross_circle,v_cross_l1,v_cross_r1,v_square_cross,v_square_square,v_square_triangle,v_square_circle,v_square_l1,v_square_r1,v_triangle_cross,v_triangle_square,v_triangle_triangle,v_triangle_circle,v_triangle_l1,v_triangle_r1,v_circle_cross,v_circle_square,v_circle_triangle,v_circle_circle,v_circle_l1,v_circle_r1,v_l1_cross,v_l1_square,v_l1_triangle,v_l1_circle,v_l1_l1,v_l1_r1,v_r1_cross,v_r1_square,v_r1_triangle,v_r1_circle,v_r1_l1,v_r1_r1,v_mental,v_pointing,v_typing,date
2,4,0.1,0.1,0.1,0.1,0.1,0.1,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20/02/2021 17:28:02
2,4,0.1,0.1,0.1,0.1,0.1,0.1,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3,0.3,0.3,20/02/2021 17:28:02
2,4,0.1,0.1,0.1,0.1,0.1,0.2,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.3,0.3,0.3,20/02/2021 17:29:26
2,4,0.1,0.1,0.1,0.1,0.1,0.2,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.5,0.3,0.3,20/02/2021 17:29:26
2,4,0.3,0.2,0.2,0.2,0.1,0.2,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.3,0.3,20/02/2021 17:29:36
2,4,0.3,0.2,0.2,0.2,0.1,0.2,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6,0.3,0.3,20/02/2021 17:29:36
2,4,0.3,0.2,0.3,0.2,0.2,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.3,20/02/2021 17:29:43
2,4,0.3,0.2,0.2,0.6,1.5,0.2,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.3,20/02/2021 17:29:53
2,4,0.3,0.2,0.2,0.6,1.5,0.2,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.3,20/02/2021 17:29:53
2,4,0.0,0.1,0.2,0.1,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.7,0.3,0.3,20/02/2021 17:29:59
